Id,SalePrice
1461,142978.77
1462,177019.98
1463,172077.44
1464,197363.62
1465,225858.92
1466,190337.9
1467,171564.31
1468,167975.17
1469,191623.47
1470,113275.29
1471,220308.3
1472,108156.875
1473,104561.61
1474,161089.28
1475,134615.84
1476,388933.12
1477,291590.6
1478,329554.8
1479,300493.8
1480,484650.38
1481,317411.25
1482,238157.12
1483,184507.69
1484,168985.86
1485,168402.23
1486,212001.53
1487,335765.38
1488,285138.56
1489,184994.83
1490,186429.3
1491,208860.61
1492,129392.33
1493,188187.9
1494,347755.22
1495,308221.72
1496,221653.05
1497,190369.34
1498,160342.58
1499,152156.52
1500,149400.23
1501,184631.31
1502,144315.75
1503,262356.22
1504,251065.25
1505,214933.16
1506,218967.67
1507,235168.38
1508,202431.95
1509,184015.11
1510,148427.5
1511,148382.56
1512,176617.9
1513,163028.86
1514,157425.84
1515,218869.52
1516,189904.03
1517,172982.88
1518,140733.1
1519,220902.88
1520,130248.32
1521,139262.05
1522,172252.84
1523,115076.805
1524,141952.84
1525,135623.31
1526,144629.45
1527,123220.16
1528,142965.2
1529,149481.42
1530,197488.17
1531,159062.8
1532,116606.875
1533,163825.28
1534,142820.27
1535,171145.33
1536,140215.9
1537,92078.84
1538,212396.8
1539,228827.02
1540,169240.16
1541,182345.42
1542,162103.31
1543,239974.22
1544,106528.87
1545,122575.56
1546,145363.6
1547,138583.98
1548,150740.39
1549,123568.59
1550,150881.28
1551,137225.9
1552,132751.98
1553,152372.52
1554,127415.81
1555,164002.14
1556,97138.914
1557,130573.53
1558,108303.53
1559,107985.01
1560,146672.5
1561,151781.67
1562,136561.72
1563,115029.54
1564,163745.73
1565,149813.44
1566,244562.56
1567,96750.77
1568,201135.84
1569,122887.3
1570,158388.78
1571,128766.125
1572,154927.84
1573,227804.75
1574,140333.78
1575,209122.94
1576,218988.77
1577,188989.45
1578,177198.66
1579,142578.8
1580,209832.25
1581,161603.0
1582,129593.53
1583,332491.94
1584,240576.45
1585,137742.38
1586,81582.14
1587,115787.125
1588,147882.81
1589,123556.07
1590,150465.9
1591,110039.91
1592,141202.53
1593,137382.45
1594,170223.48
1595,111918.73
1596,269817.5
1597,169467.9
1598,213215.28
1599,183934.83
1600,210649.33
1601,65836.35
1602,148251.48
1603,122115.19
1604,273797.72
1605,267887.34
1606,187796.03
1607,206916.42
